t_ms,ax,ay,az,gx,gy,gz,roll,pitch,alt_m
28120,0.750,1.410,9.468,-0.4167,0.2731,-0.0647,8.05,0.24,111.88
28130,0.504,1.312,9.258,-0.1162,-0.0057,0.0831,8.23,0.01,111.98
28140,0.755,0.978,10.001,-0.7258,-0.3039,-0.0116,7.89,0.20,112.09
28150,0.609,1.815,10.380,-0.7778,-1.8166,0.0176,7.37,-0.36,112.02
28160,0.716,1.239,10.768,-0.5081,-2.9174,-0.0178,7.00,-1.87,111.92
28171,1.173,1.079,10.571,-0.4402,-2.9248,-0.0467,6.80,-3.71,111.94
28180,1.575,0.747,11.132,-0.7996,-2.5853,-0.0304,6.49,-5.20,111.83
28191,1.429,0.692,11.743,-1.0519,-2.7577,0.0254,5.82,-6.67,112.02
28201,1.001,0.817,11.941,-0.7436,-3.2413,0.0264,5.26,-8.35,112.03
28210,1.490,0.726,12.605,-0.3370,-2.8379,-0.0553,4.93,-10.40,112.00
28221,1.954,0.909,13.051,-0.4899,-1.9233,0.0162,4.86,-11.63,111.98
28231,1.636,0.832,13.498,-1.1473,-2.9677,-0.1173,4.34,-12.60,112.03
28240,2.296,0.851,13.672,-0.2704,-3.2196,-0.0363,3.53,-15.04,112.18
28251,2.339,1.072,13.886,-0.0426,-2.5302,0.0320,4.04,-16.30,111.93
28260,2.547,0.183,13.977,-1.8399,-2.9185,0.0392,3.47,-17.93,111.95
28270,2.919,-0.025,14.234,-1.2323,-2.6766,0.0588,1.92,-19.64,112.01
28281,2.951,0.005,13.509,-0.8266,-2.5748,0.0467,2.06,-21.00,112.01
28291,3.079,0.270,12.570,-1.1272,-2.9507,0.0556,0.97,-22.61,111.97
28300,3.800,0.309,11.756,-0.1955,-2.5082,-0.0338,0.79,-24.39,112.09
28310,3.508,0.102,11.583,-0.5039,-2.3659,-0.0166,0.75,-25.49,112.12
28320,3.136,0.076,10.626,-0.9903,-2.4595,0.0563,0.23,-27.05,111.93
28331,3.704,-0.344,10.648,-0.0550,-2.3068,-0.0297,-0.36,-28.29,112.12
28340,4.140,0.087,9.912,-0.2996,-0.4277,0.0326,0.16,-29.67,112.07
28351,3.496,-0.210,9.975,-0.5751,1.9428,-0.0211,-0.74,-28.81,111.98
28361,3.503,-0.262,10.158,0.6200,1.6652,0.0267,-0.48,-27.43,111.84
28371,3.033,0.195,9.880,0.1960,1.9027,0.1045,0.01,-26.88,112.00
28380,3.247,0.156,10.084,0.4126,2.5885,0.0180,-0.25,-25.27,112.04
28391,2.872,0.545,10.551,0.2701,2.3873,-0.0325,0.47,-23.89,111.97
28401,2.123,-0.078,11.157,-0.0619,1.8392,-0.0671,0.04,-22.53,112.04
28410,2.349,0.061,10.436,0.0064,2.4477,-0.0333,0.38,-21.81,111.99
28421,1.790,0.148,11.123,-0.2870,2.9745,-0.0161,0.04,-19.69,111.94
28431,1.670,-0.249,11.107,0.0189,2.3971,-0.0598,0.05,-18.39,112.06
28441,1.620,0.483,11.003,0.4714,1.8944,-0.0840,0.05,-16.91,112.02
28451,1.326,0.536,11.272,0.3545,1.6241,0.0990,0.59,-16.22,111.98
28460,1.219,0.123,11.781,-0.7587,2.1920,-0.0919,0.49,-15.07,112.02
28470,0.980,-0.186,11.240,-0.4746,2.3574,0.0036,-0.34,-13.66,111.99
28480,0.241,0.064,11.331,0.7581,1.5370,-0.0408,-0.08,-12.40,111.98
28490,0.445,0.174,11.437,-0.3268,1.5911,0.0732,0.51,-11.90,111.92
28501,0.250,-0.443,11.344,0.0470,2.1917,0.1100,-0.45,-10.56,111.85
28510,0.019,-0.044,10.789,0.5682,2.3371,0.0166,0.55,-9.38,111.97
28521,-0.130,0.026,10.913,-0.7472,2.7393,0.0185,0.19,-7.88,112.01
28530,-0.336,0.105,10.182,-0.7343,2.2506,0.0254,-0.31,-6.27,111.87
28541,-0.467,-0.374,10.041,0.3226,2.1027,0.0410,-0.67,-5.31,112.01
28550,-0.671,-0.126,10.141,1.0264,1.3953,0.0288,0.02,-3.88,112.03
28560,-0.909,-0.240,9.849,0.0325,0.8274,-0.0361,0.52,-3.72,112.08
28570,-0.926,0.049,9.404,-0.3063,1.6251,0.0384,0.07,-2.96,111.81
28580,-1.064,0.672,9.460,0.0503,1.7737,0.0588,0.17,-1.89,111.99
28590,-1.289,-0.016,8.708,-0.1928,1.1726,-0.0471,0.15,-0.92,112.06
28601,-1.084,0.173,8.539,-0.0115,1.5420,-0.0418,-0.07,-0.56,112.11
28611,-1.323,0.321,8.251,-0.1175,2.1412,0.0012,0.12,0.86,112.07
28620,-1.480,0.284,7.991,-0.2637,1.8704,0.0773,-0.19,1.91,111.86
28630,-1.825,0.011,8.166,-0.0905,1.3228,-0.0545,-0.17,3.00,111.98
28641,-1.685,0.323,7.636,0.0537,1.2197,0.0029,-0.28,3.39,111.81
28650,-1.755,0.096,8.134,0.1649,1.3814,0.0320,-0.11,4.42,112.00
28660,-1.664,0.327,7.820,0.1670,1.3298,-0.0700,-0.11,4.98,112.02
28670,-2.123,0.074,7.836,0.0286,1.6980,-0.0384,0.06,5.97,112.06
28681,-1.644,-0.142,7.676,-0.4528,1.3562,0.0332,-0.10,6.90,112.03
28690,-2.066,0.133,8.103,-0.1913,1.2893,-0.0454,-0.50,7.44,111.95
28700,-2.001,-0.266,7.836,0.3950,2.2273,0.0522,-0.33,8.39,112.03
28711,-2.064,-0.288,8.083,0.4178,2.4033,0.0044,-0.08,10.01,111.99
28721,-2.378,-0.264,8.142,0.0035,1.2926,-0.0069,0.16,11.13,111.94
28731,-2.564,0.053,8.482,-0.0355,1.0761,-0.0779,-0.09,11.51,111.98
28740,-2.026,0.073,9.044,-0.3336,1.0599,-0.0127,0.12,12.37,111.84
28750,-2.091,-0.472,9.157,0.2205,1.4548,-0.0647,-0.46,12.73,112.02
28761,-2.318,-0.128,9.360,0.2600,2.3688,-0.0145,0.36,14.02,111.97
28771,-2.509,0.492,9.194,-0.2208,-0.3451,-0.0736,-0.14,15.46,111.92
28780,-2.382,0.327,23.749,0.7675,-2.8975,0.0074,0.12,13.63,111.94
28791,-1.834,0.501,19.933,1.0148,-2.2936,0.0438,0.76,12.17,112.03
28800,-1.308,0.372,15.291,0.6291,-2.4264,-0.0345,1.27,10.97,112.20
28810,-1.042,0.404,12.123,0.6569,-2.7183,0.0195,1.45,9.42,111.86
28821,-1.144,0.061,10.310,0.2414,-1.7314,0.0332,2.10,7.87,112.02
28830,-1.004,-0.020,9.818,0.4629,-2.3960,0.0128,1.75,7.42,112.03
28840,-0.219,0.203,9.682,1.3260,-2.7843,-0.0393,2.62,5.14,111.98
28850,0.060,0.259,9.508,0.7711,-1.8881,0.0148,3.27,4.22,112.00
28861,0.280,0.246,9.262,0.2924,-2.2442,-0.0664,3.52,2.98,112.10
28870,0.239,0.539,9.604,0.5640,-2.1610,-0.0689,3.64,1.64,112.02
28881,0.981,0.985,10.026,1.1086,-1.6679,-0.0406,4.17,0.49,112.02
28890,0.202,1.070,9.966,0.2118,-0.5904,0.0115,4.93,-0.31,111.96
28901,0.765,0.662,9.293,0.1803,0.6766,-0.0124,4.39,-0.14,112.18
28910,0.770,0.581,9.265,0.8632,-0.0660,0.0637,5.12,0.47,112.10
28921,1.342,1.115,9.893,0.6380,0.0621,0.0489,5.38,-0.21,111.97
28931,1.121,0.937,9.276,0.1726,0.1207,-0.0033,5.84,0.53,111.97
28941,1.427,0.668,9.875,0.7231,-0.9892,-0.0765,5.57,-0.08,112.03
28951,1.120,1.006,9.946,0.9815,0.0926,0.0381,6.66,-0.63,112.00
28961,0.967,0.392,9.514,0.5984,0.5818,-0.0108,6.69,0.01,111.92
28970,1.244,1.253,9.773,0.2376,-0.0584,-0.0781,7.36,0.06,111.81
28980,1.223,1.025,9.719,-0.3509,0.0353,0.0196,6.91,-0.08,111.82
28991,1.056,1.001,9.829,-0.1382,-0.0097,-0.0135,6.92,0.12,111.91
29001,1.527,1.351,9.865,0.3257,-0.1289,-0.1077,6.75,-0.08,112.06
29011,1.618,1.414,9.505,0.4495,0.0866,0.0793,7.32,0.01,112.04
29021,1.455,1.213,9.722,-0.1490,0.2499,0.0375,7.24,0.03,111.86
29030,1.775,1.092,9.062,0.3481,0.1654,-0.0382,7.16,0.28,111.99
29040,1.537,1.334,9.692,0.6308,-0.3308,0.0046,7.63,0.22,111.97
29051,1.416,1.589,9.323,0.3313,0.1992,-0.0487,7.92,-0.09,112.08
29060,1.849,1.883,9.496,0.8661,-0.2688,0.0373,8.04,0.44,112.03
29070,1.550,1.930,9.618,0.5805,-0.1437,-0.0931,8.93,-0.38,111.99
29080,1.533,1.406,9.631,-0.5455,0.6019,0.0137,8.68,0.29,111.88
29091,1.544,1.162,9.714,-0.1885,0.2798,-0.0574,8.30,0.32,111.99
29100,1.583,1.531,9.897,-0.1678,-0.3418,-0.0458,8.48,0.63,111.95
29110,1.268,2.051,9.811,-0.3150,-0.4559,-0.0147,8.15,-0.05,112.03
29120,1.838,1.362,9.503,0.1794,-0.1327,-0.0795,8.12,0.11,112.00
29131,1.490,1.740,9.958,0.0154,0.3318,0.0564,8.35,-0.20,112.00
29141,1.053,1.276,9.676,0.1793,-0.2218,-0.0749,8.11,0.47,111.90
29151,1.353,1.878,10.016,0.1056,-0.2290,0.0076,8.55,-0.45,111.88
29161,1.167,1.411,9.910,-0.8728,0.3933,-0.0113,8.21,0.18,112.03
29171,1.141,0.971,9.708,-0.7657,0.0256,-0.0269,7.56,-0.01,111.96
29181,1.685,1.669,10.260,0.0754,0.2786,0.0738,7.30,0.19,112.01
29190,1.191,1.179,9.798,0.4233,0.0501,0.0426,7.65,0.34,111.84
29201,0.657,1.112,9.546,-0.6212,-0.1005,-0.0321,7.80,0.22,111.96
29210,1.339,1.038,10.051,-0.9018,-0.0558,0.0488,6.94,0.23,111.89
29221,0.670,1.152,9.888,0.5115,-0.3946,0.0119,6.79,0.19,112.09
29231,0.931,1.286,9.957,-0.1164,-0.2340,0.0041,7.57,-0.22,111.95
29240,0.587,1.084,10.301,-1.1056,-0.1543,0.0470,6.64,-0.10,111.89
29251,0.212,1.204,10.042,0.1879,0.0717,-0.0627,6.29,-0.38,112.00
29261,0.487,1.186,10.026,-0.4556,0.3667,-0.0828,6.88,-0.02,112.07
29271,0.576,1.367,10.315,-1.4094,-1.1252,0.0137,5.78,0.07,111.99
29280,0.938,1.022,10.029,-0.3907,-2.7690,-0.0900,5.25,-1.32,112.01
29290,0.536,1.136,10.924,-0.5773,-3.1232,-0.0253,5.32,-3.09,111.89
29301,0.498,0.555,10.735,-0.9830,-2.8316,0.0434,4.61,-4.94,112.06
29310,1.281,0.890,11.425,-0.0061,-3.2184,-0.0027,4.20,-6.34,111.99
29321,1.662,0.493,11.981,-0.3152,-2.7088,0.0446,4.64,-8.65,111.95
29331,2.015,0.739,12.741,-0.7106,-1.9068,0.0318,3.84,-9.45,112.07
29340,1.729,0.031,12.487,-0.7276,-2.3909,0.0089,3.81,-10.84,111.92
29351,1.826,0.767,13.569,-0.8019,-2.5927,-0.0375,2.98,-12.18,112.04
29360,1.796,0.571,14.144,-0.6343,-3.0285,0.0910,2.88,-13.82,111.99
29370,2.027,-0.023,13.976,-0.8579,-2.5502,0.0210,2.22,-15.62,112.15
29380,2.591,0.525,14.045,0.1577,-3.1293,-0.0530,1.93,-16.77,111.95
29391,2.746,0.293,14.321,-0.2115,-2.9538,-0.0157,2.36,-19.22,111.92
29401,2.295,0.293,13.661,-0.9578,-2.1548,-0.0357,1.68,-20.17,112.04
29410,3.282,0.518,13.220,-0.8798,-3.2283,-0.0637,1.28,-21.71,111.97
29420,2.964,-0.222,12.254,-0.9351,-3.1848,-0.0287,0.68,-23.85,112.07
29431,3.255,-0.073,11.705,-0.6370,-2.8222,-0.0088,0.19,-25.35,111.97
29440,3.847,-0.380,11.384,-0.2672,-2.8908,0.0391,-0.01,-27.15,111.92
29450,3.776,-0.154,10.727,0.1630,-2.6998,0.0633,-0.13,-28.66,112.01
29461,4.188,-0.040,9.856,0.1000,-0.4994,-0.0814,0.15,-30.25,111.97
29471,3.878,0.006,9.898,-0.1209,2.4450,0.0296,-0.03,-29.21,111.88
29480,3.334,0.195,9.582,0.7218,2.1003,0.0095,0.06,-27.43,111.94
29490,3.084,0.392,10.274,-0.0302,2.0785,0.0054,0.80,-26.79,112.03
29500,2.548,-0.183,9.958,-0.9998,2.6652,-0.0096,-0.00,-25.08,111.99
29511,2.431,0.239,10.514,0.4201,2.6282,0.0469,-0.33,-23.68,111.95
29520,2.202,0.100,10.587,0.0597,2.1223,-0.0478,0.48,-22.05,111.96
29530,2.142,0.392,10.403,-0.7047,1.1013,0.0686,-0.31,-21.22,111.92
29541,2.268,-0.244,10.522,0.7638,2.4482,0.0218,-0.31,-20.75,112.03
29550,1.853,0.055,11.312,0.4111,2.5562,0.0197,0.54,-18.37,112.05
29560,1.636,-0.115,11.612,-0.7350,1.6966,-0.0403,0.13,-17.84,112.01
29571,1.285,0.154,11.777,-0.1011,2.5927,-0.0411,-0.30,-16.43,111.87
29580,1.115,0.387,11.380,0.6475,2.2531,-0.0317,0.03,-14.84,111.89
29590,0.713,0.081,11.175,-0.2547,1.9058,0.0710,0.43,-13.84,111.98
29601,0.889,-0.271,11.835,-0.3327,2.4087,-0.0418,-0.27,-12.67,112.00
29610,0.236,-0.503,11.167,0.8741,2.3463,-0.1555,0.06,-11.07,112.08
29621,0.537,0.457,10.917,-0.0928,2.1389,-0.1057,0.73,-9.99,112.04
29630,0.007,-0.116,10.952,-1.0726,2.0422,0.0146,-0.04,-8.64,111.93
29640,-0.283,0.075,11.052,-0.0652,2.1083,0.0259,-0.50,-7.59,111.98
29651,-0.423,0.058,10.377,0.3263,2.3053,0.0200,-0.11,-6.21,112.08
29661,-0.499,-0.171,10.163,-0.0179,1.3748,0.0336,-0.08,-4.97,112.16
29671,-0.729,-0.279,10.063,0.5158,1.5483,-0.0607,-0.16,-4.63,111.89
29681,-1.251,0.470,9.934,0.1839,1.8378,0.0369,0.53,-3.18,112.12
29690,-0.813,-0.117,9.397,-0.4646,2.2593,0.0327,0.06,-2.51,112.00
29701,-1.381,0.297,8.981,0.1022,1.6349,-0.0197,0.01,-0.57,111.98
29710,-1.774,-0.035,8.632,0.0431,0.8263,0.0487,0.17,-0.62,112.12
29721,-1.709,0.375,8.555,-0.6786,2.0134,0.0311,0.05,0.39,111.99
29730,-1.393,-0.113,8.438,0.1415,1.3764,-0.0632,-0.58,1.68,111.89
29740,-1.173,0.333,8.196,0.6465,1.2531,0.0330,0.20,1.97,111.98
29750,-0.950,0.641,8.089,-0.1172,2.0736,-0.0163,0.17,3.10,111.93
29761,-1.844,0.286,8.410,0.0367,1.6586,0.0443,0.12,4.31,112.09
29771,-1.657,-0.254,7.933,0.1936,1.2617,-0.0619,0.22,4.99,112.11
29781,-1.524,0.171,7.566,0.1537,1.6014,0.0269,0.34,5.77,111.93
29790,-1.792,0.156,8.315,-0.7148,1.4704,-0.0848,0.42,6.78,111.97
29801,-1.721,0.123,7.965,-0.5688,1.4934,0.0601,-0.48,7.42,112.02
29811,-1.620,-0.215,8.437,0.1460,2.1107,-0.0404,-0.23,8.48,111.91
29821,-2.026,0.022,7.904,0.1067,1.1630,-0.0030,-0.31,9.84,112.07
29830,-2.028,-0.159,8.019,0.3432,1.2150,-0.0551,-0.14,9.84,111.87
29841,-2.335,-0.391,8.482,-0.3688,1.8785,0.0145,0.11,11.24,112.08
29851,-2.133,0.001,8.429,0.0679,1.4089,-0.0348,-0.54,12.01,112.01
29860,-2.188,0.382,9.232,0.0799,1.7708,-0.0213,0.20,12.86,112.10
29871,-2.689,0.032,9.429,-0.4132,1.6472,-0.0161,-0.45,14.05,112.02
29881,-2.778,0.001,9.289,0.3178,-0.2421,-0.0218,-0.30,14.78,112.00
29890,-2.049,0.034,25.147,0.7748,-1.5641,-0.0082,-0.06,13.77,112.05
29900,-2.217,0.271,20.717,1.0858,-2.0996,-0.0656,0.55,12.99,112.00
29910,-1.683,-0.349,15.908,0.2744,-2.8151,-0.0136,1.18,11.35,112.08
29921,-1.064,0.422,12.140,0.9556,-2.4322,0.0410,0.86,9.76,111.89
29930,-1.418,0.375,10.384,0.9311,-2.2136,0.0306,2.32,8.56,111.99
29941,-0.997,0.181,10.109,0.8181,-2.3330,-0.0081,1.94,7.20,112.06
29951,-0.720,0.493,9.993,0.5017,-2.0137,0.0035,3.26,5.88,112.12
29961,-0.135,1.136,9.641,0.2804,-2.3234,0.0158,2.52,4.89,112.01
29970,0.318,0.856,9.630,1.1747,-2.5655,-0.0427,3.60,3.17,112.24
29980,0.432,0.120,10.095,0.2990,-1.8239,0.0414,3.87,1.97,111.82
29991,0.539,0.789,9.772,0.0550,-1.8488,0.0105,3.97,1.10,112.08
30000,1.237,0.810,10.179,0.5354,-0.3135,0.0428,3.95,-0.15,112.08
30010,0.858,1.054,9.936,1.2669,0.5960,0.0439,4.57,0.72,111.94
30020,0.627,1.083,9.243,0.8782,-0.5670,-0.0596,5.41,0.55,112.12
30030,1.134,1.001,9.379,0.4045,-0.2610,0.0489,5.59,0.08,112.01
30041,1.225,0.906,9.702,0.6472,-0.2772,-0.0347,5.89,0.26,111.96
30050,1.005,1.596,9.485,0.3998,0.0070,0.0641,6.36,-0.27,112.03
30060,1.096,1.303,9.620,0.0039,0.3388,-0.0106,6.33,0.27,112.01
30071,1.800,1.091,9.344,0.5534,-0.1785,-0.0210,6.43,0.11,111.94
30080,1.566,1.349,9.570,0.6251,-0.0520,-0.0029,6.95,0.06,111.96
30090,1.162,1.350,10.256,0.5218,0.1127,0.0707,7.13,0.03,112.25
30100,1.282,1.245,9.708,0.3238,-0.0371,-0.0601,7.55,0.15,111.98
30110,1.499,0.959,9.582,0.1577,-0.1608,-0.0387,7.48,-0.05,112.03
30121,1.781,1.920,9.886,0.4449,0.2725,0.0778,7.70,-0.04,112.05
30130,0.927,1.475,9.601,0.1084,-0.1464,-0.0229,7.99,0.29,112.15
30141,1.711,1.192,10.119,-0.3174,-0.8152,0.0101,7.84,-0.23,111.94
30151,1.303,1.161,9.713,0.1877,0.5984,-0.0174,7.64,-0.67,112.01
30161,2.120,1.248,9.817,0.5180,0.1961,-0.0314,8.08,0.52,112.00
30170,1.544,1.889,9.645,0.4648,-0.5040,0.0468,8.22,-0.43,112.10
30180,2.065,1.093,9.726,0.2555,0.0193,0.0518,8.61,-0.04,111.90
30190,1.600,1.540,9.886,-0.3521,0.1160,0.0417,8.53,-0.42,111.92
30200,1.156,0.610,9.524,-0.0498,0.3338,-0.0115,8.23,0.07,112.09
30210,1.501,1.461,9.472,0.1155,0.2436,0.0267,8.47,-0.04,112.00
30220,0.980,1.414,9.725,-0.1984,0.3068,-0.0387,8.33,0.32,112.10
30231,1.454,1.424,9.534,0.2804,-0.2911,-0.0598,8.26,0.33,112.07
30240,1.452,1.113,9.111,-0.1863,-0.4145,-0.0515,8.62,-0.02,111.95
30251,1.488,1.131,9.441,-0.0122,0.0014,-0.0281,8.02,-0.15,111.92
30260,1.048,1.642,10.014,0.0370,0.0048,-0.0247,8.59,0.00,111.93
30271,1.251,1.865,9.842,-0.3247,-0.0910,-0.1066,8.09,-0.12,111.95
30281,0.990,1.296,9.663,-0.2100,-0.1219,0.0086,8.22,-0.11,111.90
30290,1.401,1.595,9.560,-0.5029,0.1822,-0.0438,7.86,-0.29,112.00
30301,1.549,1.120,9.811,-0.3081,0.4267,-0.0296,7.65,0.14,112.06
30311,1.424,1.096,9.882,0.1501,-0.2244,-0.0174,7.51,0.16,111.99
30320,0.518,1.332,9.714,-0.5951,-0.2021,0.0368,7.78,-0.15,111.98
30331,1.260,1.095,9.530,-0.5163,-0.0951,-0.0496,6.84,-0.07,111.98
30341,0.544,0.958,9.389,-0.0813,-0.0556,0.0068,7.18,-0.27,111.89
30351,0.537,1.048,9.219,-0.5219,0.4549,0.0279,6.74,-0.14,111.98
30361,0.315,1.252,9.659,0.2142,-0.0523,0.0306,6.55,0.28,111.99
30371,1.087,0.805,9.887,-0.4584,-0.0848,0.0118,7.01,-0.20,111.84
30380,0.425,1.047,9.870,-1.1259,-0.0874,0.0329,6.00,0.18,112.06
30391,0.177,0.841,10.087,-0.7075,-1.5513,-0.0310,5.71,-0.30,111.99
30400,0.528,0.716,10.326,-0.8057,-2.5180,-0.0194,5.19,-1.61,111.94
30410,0.951,0.534,10.684,-0.1734,-3.2880,0.0720,4.80,-3.17,111.98
30421,1.399,0.707,11.125,-0.2463,-2.9907,-0.0095,4.98,-5.40,111.91
30431,1.167,0.782,11.447,-0.3122,-2.3358,-0.0426,4.53,-6.63,111.86
30440,1.232,0.589,12.026,-0.3698,-2.0537,-0.0089,4.61,-8.08,112.10
30451,1.914,0.936,12.387,-1.0185,-2.6894,0.1190,4.13,-8.97,111.97
30460,1.515,0.692,13.317,-0.2918,-3.5327,-0.0512,3.45,-11.21,112.15
30471,1.909,0.908,13.582,-0.1071,-3.0466,-0.0663,3.81,-13.03,111.89
30490,1.927,0.729,14.396,-0.7055,-2.3485,-0.0071,2.64,-15.47,112.03
30501,2.695,0.538,14.298,-0.1934,-2.7931,-0.0441,2.50,-17.39,112.03
30510,2.256,0.355,14.169,-0.7513,-2.3090,-0.0197,2.40,-18.67,112.01
30521,3.137,0.502,14.093,-1.2843,-2.6946,-0.0358,1.62,-20.05,111.93
30530,3.069,0.576,13.300,-0.7556,-3.2194,0.0504,0.95,-21.74,112.00
30541,3.644,0.352,12.517,-0.4810,-3.0393,-0.0341,0.76,-23.80,111.98
30551,3.075,-0.091,12.056,-0.6048,-2.2194,0.0243,0.39,-25.23,111.94
30560,3.324,-0.041,11.468,-0.0507,-2.5116,-0.0317,0.08,-26.37,111.85
30570,3.491,0.341,10.471,0.0245,-2.8170,-0.0619,0.34,-28.14,112.10
30580,3.397,-0.243,10.261,-0.7270,-0.8772,-0.0364,0.10,-29.58,111.96
30590,3.974,0.047,9.538,-0.2883,1.3481,-0.0123,-0.50,-29.16,111.98
30601,3.201,0.011,10.092,0.1257,2.2379,-0.0400,-0.24,-28.02,112.21
30610,2.775,-0.437,9.796,0.2767,2.6251,0.0597,-0.32,-26.59,111.81
30621,3.149,0.133,10.529,0.2057,2.3882,-0.0086,0.11,-25.02,112.00
30630,2.656,0.087,10.256,-0.0167,1.7112,-0.0213,-0.08,-23.88,111.92
30640,2.304,-0.118,10.580,-0.0543,2.0274,0.0935,0.11,-23.09,111.98
30651,2.795,0.131,10.606,-0.2869,2.5681,-0.0806,-0.15,-21.55,112.07
30660,1.848,-0.086,11.355,0.3589,2.2212,-0.0129,-0.22,-20.13,111.96
30670,1.609,0.036,10.960,0.2720,2.0270,0.0966,0.31,-19.02,112.03
30681,1.240,0.292,11.389,-0.3123,2.1910,0.0477,0.12,-17.86,111.94
30690,1.305,0.151,11.585,-0.5648,2.1324,-0.0551,-0.07,-16.55,112.09
30701,0.735,0.181,11.411,-0.2609,1.9376,0.0220,-0.50,-15.40,111.88
30711,0.933,0.169,11.649,0.1521,2.6086,-0.0829,-0.39,-14.31,112.06
30721,0.819,-0.327,11.265,0.3175,2.5891,-0.0887,-0.36,-12.47,111.87
30730,0.342,-0.143,11.196,0.0723,1.9674,-0.0017,-0.02,-11.33,111.70
30741,0.062,0.095,11.230,0.3150,1.8897,-0.0160,-0.29,-10.21,111.85
30751,-0.317,0.163,10.703,0.4442,2.1827,0.0217,0.32,-9.17,111.84
30760,-0.078,-0.045,10.210,-0.3285,2.2180,-0.0098,0.22,-7.68,112.00
30770,-0.788,0.131,10.092,-0.4007,1.7460,-0.0324,-0.05,-6.69,112.04
30781,-0.273,-0.014,9.913,-0.0843,2.2344,-0.0797,-0.26,-5.67,111.95
30791,-0.690,0.384,10.077,0.3124,1.8423,0.0640,-0.15,-4.09,112.07
30801,-0.587,-0.069,9.411,0.1591,1.1914,-0.0046,0.09,-3.55,111.85
30811,-0.674,0.007,9.232,-0.1341,1.2077,0.0343,0.01,-2.75,111.83
30821,-1.023,0.418,9.100,0.3237,1.5298,0.0784,-0.06,-2.20,111.79
30830,-1.061,0.198,8.756,-0.0480,1.4300,-0.0072,0.35,-1.02,111.98
30841,-1.004,0.136,8.282,-0.3708,1.3523,0.0526,-0.10,-0.55,111.91
30851,-1.591,0.098,8.311,0.2550,2.0085,-0.0866,-0.04,0.54,111.97
30860,-1.406,0.116,8.122,0.1067,1.5703,-0.0255,0.17,1.71,111.99
30871,-1.686,0.713,8.191,0.1377,1.3651,-0.0202,0.08,2.34,112.09
30881,-1.493,0.025,7.770,-0.1819,1.4718,0.0062,0.32,3.25,112.10
30891,-2.040,-0.100,8.095,-0.4832,1.7068,-0.0295,-0.15,4.04,112.01
30901,-1.412,0.195,7.877,0.2828,1.7897,-0.0366,-0.23,5.27,112.03
30911,-1.477,0.090,7.783,0.2485,1.6687,0.0101,0.20,6.08,112.00
30921,-1.803,-0.070,7.921,0.0541,2.0581,0.0117,0.04,7.20,111.97
30931,-1.705,0.003,7.985,0.1878,1.3318,-0.0809,0.24,8.42,111.99
30940,-2.065,0.021,8.094,-0.0246,1.0673,0.0480,0.22,8.75,111.90
30950,-2.372,0.179,7.949,-0.4613,1.5793,-0.0820,0.21,9.62,111.98
30960,-2.171,0.187,8.703,-0.1946,1.7620,0.0482,-0.29,10.56,112.04
30970,-2.424,0.028,8.538,0.1286,1.6064,0.0291,-0.03,11.66,111.97
30980,-2.360,0.054,8.977,-0.1230,0.9389,-0.0490,-0.16,12.41,112.05
30991,-2.582,-0.087,8.875,0.1636,1.1251,-0.0752,-0.14,12.73,112.02
31000,-2.313,0.000,9.092,0.5452,1.9472,-0.0190,0.04,13.73,112.01
31011,-2.419,-0.148,23.866,0.9376,-0.2193,-0.0232,0.47,14.96,112.16
31021,-2.337,0.090,22.047,0.2152,-2.1659,0.0067,1.13,13.48,112.05
31031,-2.053,-0.101,18.212,0.2808,-2.3654,0.0158,0.74,12.48,112.00
31040,-1.292,-0.085,14.274,0.8570,-2.8839,0.0550,1.45,10.73,111.86
31051,-1.710,0.415,11.497,0.6559,-1.8335,-0.0062,1.70,9.16,112.04
31061,-0.670,-0.160,10.328,0.9440,-2.1132,-0.0364,2.18,8.61,112.01
31071,-0.960,0.432,9.567,0.5643,-3.0729,0.0645,2.80,6.73,111.99
31080,0.115,0.575,9.753,0.9457,-2.5040,0.0219,2.86,5.14,112.02
31091,-0.063,0.488,10.053,0.9052,-2.6056,-0.0161,3.90,3.86,112.05
31101,0.472,0.453,9.322,0.6395,-2.2900,-0.0104,3.90,2.16,111.94
31111,0.575,1.092,9.631,0.8052,-1.8691,-0.0246,4.62,1.28,111.94
31120,0.813,0.988,9.372,0.9486,-0.9934,0.0506,4.86,0.04,112.11
31130,0.592,0.650,9.870,1.1107,-0.2308,0.0575,5.71,0.12,112.03
31140,1.373,1.311,9.599,0.6832,0.4262,0.0373,6.14,-0.21,111.89
31151,0.942,0.818,9.304,0.4320,-0.4057,0.0871,6.47,0.60,111.87
31161,1.374,0.944,9.731,0.0432,-0.6568,-0.0339,6.64,-0.64,112.04
31171,1.354,1.361,9.984,0.3360,0.7683,0.0342,6.53,-0.13,111.92
31181,1.445,1.171,9.517,1.1398,0.4106,-0.0050,7.03,0.26,111.99
31190,1.481,1.694,9.885,0.6843,-0.1903,-0.0296,7.80,0.32,112.04
31200,1.497,1.438,9.962,0.3037,-0.4434,-0.0197,7.78,0.02,111.95
31210,1.416,1.848,9.923,0.7569,0.1149,0.0562,8.15,-0.19,111.96
31221,1.252,2.130,9.777,1.0459,0.0399,0.0033,8.67,0.14,111.99
31231,1.523,1.798,9.859,0.0773,-0.5177,0.0145,9.39,-0.10,111.89
